!!SBtab TableType='Quantity' Unit='mmol/gCDW/s' Organism='Escherichia coli' Reference='Davidi 2016' SBtabVersion='1.0' Date='2019-06-10'																																	
!QuantityType	!Reaction	GLC_CHEM_mu_0_11_V	GLC_CHEM_mu_0_12_S	GLC_CHEM_mu_0_20_S	GLC_CHEM_mu_0_21_P	GLC_CHEM_mu_0_21_V	GLC_CHEM_mu_0_22_P	GLC_CHEM_mu_0_26_P	GAL_BATCH_mu_0_26_S	ACE_BATCH_mu_0_3_S	GLC_CHEM_mu_0_31_P	GLC_CHEM_mu_0_31_V	GLC_CHEM_mu_0_35_S	GLC_CHEM_mu_0_36_P	PYR_BATCH_mu_0_4_S	GLC_CHEM_mu_0_40_V	GLC_CHEM_mu_0_41_P	FUM_BATCH_mu_0_42_S	SUCC_BATCH_mu_0_44_S	GLC_CHEM_mu_0_46_P	GAM_BATCH_mu_0_46_S	GLYC_BATCH_mu_0_47_S	MAN_BATCH_mu_0_47_S	GLC_CHEM_mu_0_49_V	GLC_CHEM_mu_0_50_S	GLC_CHEM_mu_0_51_P	GLC_SALTS_BATCH_mu_0_55_S	XYL_BATCH_mu_0_55_S	GLC_BATCH_mu_0_58_S	GLC_pH6_BATCH_mu_0_63_S	FRU_BATCH_mu_0_65_S	GLC_42deg_BATCH_mu_0_66_S	!Reaction:Identifiers:kegg.reaction
rate of reaction	P5CR	6.80E-06	7.40E-06	1.20E-05	1.30E-05	1.30E-05	1.40E-05	1.60E-05	1.60E-05	1.80E-05	1.90E-05	1.90E-05	2.10E-05	2.20E-05	2.50E-05	2.50E-05	2.50E-05	2.60E-05	2.70E-05	2.80E-05	2.80E-05	2.90E-05	2.90E-05	3.00E-05	3.10E-05	3.10E-05	3.40E-05	3.40E-05	3.60E-05	3.90E-05	4.00E-05	4.10E-05	R01251
rate of reaction	PANTS	1.80E-08	1.90E-08	3.20E-08	3.40E-08	3.40E-08	3.50E-08	4.20E-08	4.20E-08	4.80E-08	5.00E-08	5.00E-08	5.60E-08	5.80E-08	6.40E-08	6.40E-08	6.60E-08	6.70E-08	7.00E-08	7.40E-08	7.40E-08	7.50E-08	7.50E-08	7.80E-08	8.00E-08	8.20E-08	8.80E-08	8.80E-08	9.30E-08	1.00E-07	1.00E-07	1.10E-07	R02473
rate of reaction	PAPPT3	8.50E-07	9.30E-07	1.50E-06	1.60E-06	1.60E-06	1.70E-06	2.00E-06	2.00E-06	2.30E-06	2.40E-06	2.40E-06	2.70E-06	2.80E-06	3.10E-06	3.10E-06	3.20E-06	3.20E-06	3.40E-06	3.60E-06	3.60E-06	3.60E-06	3.60E-06	3.80E-06	3.90E-06	3.90E-06	4.20E-06	4.20E-06	4.50E-06	4.90E-06	5.00E-06	5.10E-06	
rate of reaction	PDX5POi	6.80E-09						1.60E-08							2.50E-08			2.60E-08	2.70E-08		2.80E-08	2.90E-08	2.90E-08	3.00E-08				3.40E-08	3.60E-08	3.90E-08	4.00E-08	4.10E-08	R00278
rate of reaction	PE160abcpp	1.40E-06	1.50E-06	2.60E-06	2.70E-06	2.70E-06	2.80E-06	3.30E-06	3.30E-06	3.80E-06	4.00E-06	4.00E-06	4.50E-06	4.60E-06	5.10E-06	5.10E-06	5.20E-06	5.40E-06	5.60E-06	5.90E-06	5.90E-06	6.00E-06	6.00E-06	6.30E-06	6.40E-06	6.50E-06	7.00E-06	7.00E-06	7.40E-06	8.00E-06	8.30E-06	8.40E-06	
rate of reaction	PE161abcpp	6.40E-07	7.00E-07	1.20E-06	1.20E-06	1.20E-06	1.30E-06	1.50E-06	1.50E-06	1.80E-06	1.80E-06	1.80E-06	2.00E-06	2.10E-06	2.30E-06	2.30E-06	2.40E-06	2.50E-06	2.60E-06	2.70E-06	2.70E-06	2.70E-06	2.70E-06	2.90E-06	2.90E-06	3.00E-06	3.20E-06	3.20E-06	3.40E-06	3.70E-06	3.80E-06	3.90E-06	
rate of reaction	PERD	6.80E-09	7.40E-09	1.20E-08	1.30E-08	1.30E-08	1.40E-08	1.60E-08	1.60E-08	1.90E-08	1.90E-08	1.90E-08	2.20E-08	2.20E-08	2.50E-08	2.50E-08	2.50E-08	2.60E-08	2.70E-08	2.80E-08	2.80E-08	2.90E-08	2.90E-08	3.00E-08	3.10E-08	3.20E-08	3.40E-08	3.40E-08	3.60E-08	3.90E-08	4.00E-08	4.10E-08	R04210
rate of reaction	PFK	1.90E-04	2.10E-04	3.30E-04	3.50E-04	3.50E-04	3.70E-04	4.30E-04	4.30E-04	4.90E-04	5.10E-04	5.10E-04	5.70E-04	5.90E-04	3.70E-04	6.50E-04	6.70E-04	4.00E-04	4.00E-04	7.50E-04	7.50E-04		7.70E-04	8.00E-04	8.10E-04	8.30E-04	8.90E-04	8.90E-04	9.40E-04	1.00E-03		1.10E-03	R00756
rate of reaction	PFK_3	2.50E-05	2.90E-05	5.70E-05	6.10E-05	6.10E-05	6.50E-05	7.90E-05	7.90E-05	9.30E-05	9.70E-05	9.70E-05	1.10E-04	1.10E-04	1.30E-04	1.30E-04	1.30E-04	7.20E-05	1.00E-04	1.50E-04	1.50E-04		1.50E-04	1.60E-04	1.70E-04	1.70E-04	1.80E-04	1.80E-04	1.90E-04	2.10E-04	2.20E-04	2.20E-04	R01843
rate of reaction	PGAMT_reverse	2.90E-06	3.10E-06	5.20E-06	5.50E-06	5.50E-06	5.80E-06	6.80E-06	6.80E-06	7.90E-06	8.10E-06	8.10E-06	9.20E-06	9.40E-06	1.00E-05	1.00E-05	1.10E-05	1.10E-05	1.20E-05	1.20E-05	1.20E-05	1.20E-05	1.20E-05	1.30E-05	1.30E-05	1.30E-05	1.40E-05	1.40E-05	1.50E-05	1.70E-05	1.70E-05	1.70E-05	
rate of reaction	PGCD	5.20E-05	5.70E-05	9.50E-05	1.00E-04	1.00E-04	1.00E-04	1.20E-04	1.20E-04	1.40E-04	1.50E-04	1.50E-04	1.70E-04	1.70E-04	1.90E-04	1.90E-04	2.00E-04	2.00E-04	2.10E-04	2.20E-04	2.20E-04	2.20E-04	2.20E-04	2.30E-04	2.40E-04	2.40E-04	2.60E-04	2.60E-04	2.80E-04	3.00E-04	3.10E-04	3.10E-04	R01513
rate of reaction	PGI	2.60E-04	2.70E-04	4.00E-04	4.10E-04	4.10E-04	4.30E-04	4.90E-04	4.90E-04	5.60E-04	5.70E-04	5.70E-04	6.40E-04	6.50E-04	2.90E-04	7.20E-04	7.30E-04	7.00E-04	5.80E-04		8.10E-04			8.60E-04	8.80E-04	8.90E-04	9.60E-04	9.60E-04	1.00E-03	1.10E-03		1.10E-03	
rate of reaction	PGK_reverse	5.90E-04	6.40E-04	1.00E-03	1.10E-03	1.10E-03	1.10E-03	1.30E-03	1.30E-03	1.50E-03	1.50E-03	1.50E-03	1.70E-03	1.70E-03	1.10E-03	1.90E-03	2.00E-03	1.60E-03	1.50E-03	2.20E-03	2.20E-03	2.00E-03	2.20E-03	2.30E-03	2.40E-03	2.40E-03	2.60E-03	2.60E-03	2.70E-03	3.00E-03	3.10E-03	3.10E-03	R01512
rate of reaction	PGL	9.30E-05	1.10E-04	2.00E-04	2.20E-04	2.20E-04	2.30E-04	2.80E-04	2.80E-04	3.30E-04	3.40E-04	3.40E-04	3.90E-04	4.00E-04	4.70E-04	4.50E-04	4.70E-04	2.90E-04	3.80E-04	5.30E-04	5.30E-04	1.70E-04	5.40E-04	5.70E-04	5.80E-04	5.90E-04	6.40E-04	6.40E-04	6.80E-04	7.40E-04	7.60E-04	7.80E-04	R02035
rate of reaction	PMEACPE	6.10E-11	6.70E-11	1.10E-10	1.20E-10	1.20E-10	1.20E-10	1.40E-10	1.40E-10	1.70E-10	1.70E-10	1.70E-10	1.90E-10	2.00E-10	2.20E-10	2.20E-10	2.30E-10	2.30E-10	2.40E-10	2.60E-10	2.60E-10	2.60E-10	2.60E-10	2.70E-10	2.80E-10	2.80E-10	3.10E-10	3.10E-10	3.20E-10	3.50E-10	3.60E-10	3.70E-10	R09725
rate of reaction	PMPK	6.80E-09	7.40E-09	1.20E-08	1.30E-08	1.30E-08	1.40E-08	1.60E-08	1.60E-08	1.90E-08	1.90E-08	1.90E-08	2.20E-08	2.20E-08	2.50E-08	2.50E-08	2.50E-08	2.60E-08	2.70E-08	2.80E-08	2.80E-08	2.90E-08	2.90E-08	3.00E-08	3.10E-08	3.20E-08	3.40E-08	3.40E-08	3.60E-08	3.90E-08	4.00E-08	4.10E-08	R04509
rate of reaction	PNTK	1.80E-08	1.90E-08	3.20E-08	3.40E-08	3.40E-08	3.50E-08	4.20E-08	4.20E-08	4.80E-08	5.00E-08	5.00E-08	5.60E-08	5.80E-08	6.40E-08	6.40E-08	6.60E-08	6.70E-08	7.00E-08	7.40E-08	7.40E-08	7.50E-08	7.50E-08	7.80E-08	8.00E-08	8.20E-08	8.80E-08	8.80E-08	9.30E-08	1.00E-07	1.00E-07	1.10E-07	R03018
rate of reaction	PPBNGS	5.50E-08	5.90E-08	9.90E-08	1.00E-07	1.00E-07	1.10E-07	1.30E-07	1.30E-07	1.50E-07	1.50E-07	1.50E-07	1.70E-07	1.80E-07	2.00E-07	2.00E-07	2.00E-07	2.10E-07	2.20E-07	2.30E-07	2.30E-07	2.30E-07	2.30E-07	2.40E-07	2.50E-07	2.50E-07	2.70E-07	2.70E-07	2.90E-07	3.10E-07	3.20E-07	3.30E-07	R00036
rate of reaction	PPC	9.00E-05	9.90E-05	1.60E-04	1.70E-04	1.70E-04	1.80E-04	2.10E-04	2.10E-04	2.50E-04	2.50E-04	2.50E-04	2.90E-04	3.00E-04	4.80E-05	3.30E-04	3.40E-04			3.80E-04	3.80E-04	3.90E-04	3.90E-04	4.00E-04	4.10E-04	4.20E-04	4.50E-04	4.50E-04	4.80E-04	5.20E-04	5.30E-04	5.40E-04	R00345
rate of reaction	PPCDC	1.80E-08	1.90E-08	3.20E-08	3.40E-08	3.40E-08	3.50E-08	4.20E-08	4.20E-08	4.80E-08	5.00E-08	5.00E-08	5.60E-08	5.80E-08	6.40E-08	6.40E-08	6.60E-08	6.70E-08	7.00E-08	7.40E-08	7.40E-08	7.50E-08	7.50E-08	7.80E-08	8.00E-08	8.20E-08	8.80E-08	8.80E-08	9.30E-08	1.00E-07	1.00E-07	1.10E-07	R03269
rate of reaction	PPNCL2	1.80E-08	1.90E-08	3.20E-08	3.40E-08	3.40E-08	3.50E-08	4.20E-08	4.20E-08	4.80E-08	5.00E-08	5.00E-08	5.60E-08	5.80E-08	6.40E-08	6.40E-08	6.60E-08	6.70E-08	7.00E-08	7.40E-08	7.40E-08	7.50E-08	7.50E-08	7.80E-08	8.00E-08	8.20E-08	8.80E-08	8.80E-08	9.30E-08	1.00E-07	1.00E-07	1.10E-07	R04231
rate of reaction	PPND	4.20E-06	4.60E-06	7.70E-06	8.10E-06	8.10E-06	8.40E-06	1.00E-05	1.00E-05	1.20E-05	1.20E-05	1.20E-05	1.30E-05	1.40E-05	1.50E-05	1.50E-05	1.60E-05	1.60E-05	1.70E-05	1.80E-05	1.80E-05	1.80E-05	1.80E-05	1.90E-05	1.90E-05	2.00E-05	2.10E-05	2.10E-05	2.20E-05	2.40E-05	2.50E-05	2.50E-05	R01728
rate of reaction	PPNDH	5.70E-06	6.20E-06	1.00E-05	1.10E-05	1.10E-05	1.10E-05	1.30E-05	1.30E-05	1.50E-05	1.60E-05	1.60E-05	1.80E-05	1.90E-05	2.10E-05	2.10E-05	2.10E-05	2.20E-05	2.30E-05	2.40E-05	2.40E-05	2.40E-05	2.40E-05	2.50E-05	2.60E-05	2.60E-05	2.80E-05	2.80E-05	3.00E-05	3.20E-05	3.30E-05	3.40E-05	R01373
rate of reaction	PPPGO3	6.80E-09	7.40E-09	1.20E-08	1.30E-08	1.30E-08	1.40E-08	1.60E-08	1.60E-08	1.90E-08	1.90E-08	1.90E-08	2.20E-08	2.20E-08	2.50E-08	2.50E-08	2.50E-08	2.60E-08	2.70E-08	2.80E-08	2.80E-08	2.90E-08	2.90E-08	3.00E-08	3.10E-08	3.20E-08	3.40E-08	3.40E-08	3.60E-08	3.90E-08	4.00E-08	4.10E-08	
rate of reaction	PRAGSr	1.40E-05	1.50E-05	2.50E-05	2.60E-05	2.60E-05	2.70E-05	3.20E-05	3.20E-05	3.70E-05	3.90E-05	3.90E-05	4.40E-05	4.50E-05	5.00E-05	5.00E-05	5.10E-05	5.20E-05	5.50E-05	5.70E-05	5.70E-05	5.90E-05	5.90E-05	6.10E-05	6.20E-05	6.40E-05	6.80E-05	6.80E-05	7.20E-05	7.80E-05	8.10E-05	8.20E-05	
rate of reaction	PRAIi	1.70E-06	1.90E-06	3.20E-06	3.30E-06	3.30E-06	3.50E-06	4.10E-06	4.10E-06	4.70E-06	4.90E-06	4.90E-06	5.50E-06	5.70E-06	6.30E-06	6.30E-06	6.50E-06	6.60E-06	6.90E-06	7.30E-06	7.30E-06	7.40E-06	7.40E-06	7.70E-06	7.90E-06	8.10E-06	8.70E-06	8.70E-06	9.20E-06	9.90E-06	1.00E-05	1.00E-05	
rate of reaction	PRAIS	1.40E-05	1.50E-05	2.50E-05	2.60E-05	2.60E-05	2.70E-05	3.20E-05	3.20E-05	3.70E-05	3.90E-05	3.90E-05	4.40E-05	4.50E-05	5.00E-05	5.00E-05	5.10E-05	5.20E-05	5.50E-05	5.70E-05	5.70E-05	5.90E-05	5.90E-05	6.10E-05	6.20E-05	6.40E-05	6.80E-05	6.80E-05	7.20E-05	7.80E-05	8.10E-05	8.20E-05	
rate of reaction	PRAMPC	2.90E-06	3.20E-06	5.30E-06	5.50E-06	5.50E-06	5.80E-06	6.80E-06	6.80E-06	7.90E-06	8.20E-06	8.20E-06	9.20E-06	9.50E-06	1.10E-05	1.10E-05	1.10E-05	1.10E-05	1.20E-05	1.20E-05	1.20E-05	1.20E-05	1.20E-05	1.30E-05	1.30E-05	1.30E-05	1.40E-05	1.40E-05	1.50E-05	1.70E-05	1.70E-05	1.70E-05	
rate of reaction	PRASCSi	1.40E-05	1.50E-05	2.50E-05	2.60E-05	2.60E-05	2.70E-05	3.20E-05	3.20E-05	3.70E-05	3.90E-05	3.90E-05	4.40E-05	4.50E-05	5.00E-05	5.00E-05	5.10E-05	5.20E-05	5.50E-05	5.70E-05	5.70E-05	5.80E-05	5.80E-05	6.10E-05	6.20E-05	6.30E-05	6.80E-05	6.80E-05	7.20E-05	7.80E-05	8.10E-05	8.20E-05	
rate of reaction	PRATPP	2.90E-06	3.20E-06	5.30E-06	5.50E-06	5.50E-06	5.80E-06	6.80E-06	6.80E-06	7.90E-06	8.20E-06	8.20E-06	9.20E-06	9.50E-06	1.10E-05	1.10E-05	1.10E-05	1.10E-05	1.20E-05	1.20E-05	1.20E-05	1.20E-05	1.20E-05	1.30E-05	1.30E-05	1.30E-05	1.40E-05	1.40E-05	1.50E-05	1.70E-05	1.70E-05	1.70E-05	
rate of reaction	PRFGS	1.40E-05	1.50E-05	2.50E-05	2.60E-05	2.60E-05	2.70E-05	3.20E-05	3.20E-05	3.70E-05	3.90E-05	3.90E-05	4.40E-05	4.50E-05	5.00E-05	5.00E-05	5.10E-05	5.20E-05	5.50E-05	5.70E-05	5.70E-05	5.90E-05	5.90E-05	6.10E-05	6.20E-05	6.40E-05	6.80E-05	6.80E-05	7.20E-05	7.80E-05	8.10E-05	8.20E-05	
rate of reaction	PRMICI	2.90E-06	3.20E-06	5.30E-06	5.50E-06	5.50E-06	5.80E-06	6.80E-06	6.80E-06	7.90E-06	8.20E-06	8.20E-06	9.20E-06	9.50E-06	1.10E-05	1.10E-05	1.10E-05	1.10E-05	1.20E-05	1.20E-05	1.20E-05	1.20E-05	1.20E-05	1.30E-05	1.30E-05	1.30E-05	1.40E-05	1.40E-05	1.50E-05	1.70E-05	1.70E-05	1.70E-05	
rate of reaction	PRPPS	2.90E-05	3.10E-05	5.20E-05	5.40E-05	5.40E-05	5.70E-05	6.70E-05	6.70E-05	7.80E-05	8.00E-05	8.00E-05	9.10E-05	9.30E-05	1.00E-04	1.00E-04	1.10E-04	1.10E-04	1.10E-04	1.20E-04	1.20E-04	1.20E-04	1.20E-04	1.30E-04	1.30E-04	1.30E-04	1.40E-04	1.40E-04	1.50E-04	1.60E-04	1.70E-04	1.70E-04	
rate of reaction	PSCVT	1.20E-05	1.30E-05	2.10E-05	2.20E-05	2.20E-05	2.30E-05	2.80E-05	2.80E-05	3.20E-05	3.30E-05	3.30E-05	3.70E-05	3.80E-05	4.20E-05	4.20E-05	4.30E-05	4.40E-05	4.70E-05	4.90E-05	4.90E-05	5.00E-05	5.00E-05	5.20E-05	5.30E-05	5.40E-05	5.80E-05	5.80E-05	6.10E-05	6.70E-05	6.90E-05	7.00E-05	
rate of reaction	PSD160	1.90E-06	2.10E-06	3.50E-06	3.70E-06	3.70E-06	3.90E-06	4.60E-06	4.60E-06	5.30E-06	5.50E-06	5.50E-06	6.20E-06	6.40E-06	7.10E-06	7.10E-06	7.30E-06	7.40E-06	7.80E-06	8.20E-06	8.20E-06	8.30E-06	8.30E-06	8.70E-06	8.90E-06	9.00E-06	9.70E-06	9.70E-06	1.00E-05	1.10E-05	1.20E-05	1.20E-05	
rate of reaction	PSD161	2.30E-06	2.50E-06	4.20E-06	4.40E-06	4.40E-06	4.60E-06	5.40E-06	5.40E-06	6.30E-06	6.50E-06	6.50E-06	7.30E-06	7.50E-06	8.40E-06	8.40E-06	8.60E-06	8.80E-06	9.20E-06	9.60E-06	9.60E-06	9.80E-06	9.80E-06	1.00E-05	1.00E-05	1.10E-05	1.10E-05	1.10E-05	1.20E-05	1.30E-05	1.40E-05	1.40E-05	
rate of reaction	PSERT	5.20E-05	5.70E-05	9.50E-05	1.00E-04	1.00E-04	1.00E-04	1.20E-04	1.20E-04	1.40E-04	1.50E-04	1.50E-04	1.70E-04	1.70E-04	1.90E-04	1.90E-04	2.00E-04	2.00E-04	2.10E-04	2.20E-04	2.20E-04	2.20E-04	2.20E-04	2.30E-04	2.40E-04	2.40E-04	2.60E-04	2.60E-04	2.80E-04	3.00E-04	3.10E-04	3.10E-04	
rate of reaction	PSP_L	5.20E-05	5.70E-05	9.50E-05	1.00E-04	1.00E-04	1.00E-04	1.20E-04	1.20E-04	1.40E-04	1.50E-04	1.50E-04	1.70E-04	1.70E-04	1.90E-04	1.90E-04	2.00E-04	2.00E-04	2.10E-04	2.20E-04	2.20E-04	2.20E-04	2.20E-04	2.30E-04	2.40E-04	2.40E-04	2.60E-04	2.60E-04	2.80E-04	3.00E-04	3.10E-04	3.10E-04	
rate of reaction	PSSA160	1.90E-06	2.10E-06	3.50E-06	3.70E-06	3.70E-06	3.90E-06	4.60E-06	4.60E-06	5.30E-06	5.50E-06	5.50E-06	6.20E-06	6.40E-06	7.10E-06	7.10E-06	7.30E-06	7.40E-06	7.80E-06	8.20E-06	8.20E-06	8.30E-06	8.30E-06	8.70E-06	8.90E-06	9.00E-06	9.70E-06	9.70E-06	1.00E-05	1.10E-05	1.20E-05	1.20E-05	
rate of reaction	PSSA161	2.30E-06	2.50E-06	4.20E-06	4.40E-06	4.40E-06	4.60E-06	5.40E-06	5.40E-06	6.30E-06	6.50E-06	6.50E-06	7.30E-06	7.50E-06	8.40E-06	8.40E-06	8.60E-06	8.80E-06	9.20E-06	9.60E-06	9.60E-06	9.80E-06	9.80E-06	1.00E-05	1.00E-05	1.10E-05	1.10E-05	1.10E-05	1.20E-05	1.30E-05	1.40E-05	1.40E-05	
rate of reaction	PTPATi	1.80E-08	1.90E-08	3.20E-08	3.40E-08	3.40E-08	3.50E-08	4.20E-08	4.20E-08	4.80E-08	5.00E-08	5.00E-08	5.60E-08	5.80E-08	6.40E-08	6.40E-08	6.60E-08	6.70E-08	7.00E-08	7.40E-08	7.40E-08	7.50E-08	7.50E-08	7.80E-08	8.00E-08	8.20E-08	8.80E-08	8.80E-08	9.30E-08	1.00E-07	1.00E-07	1.10E-07	
rate of reaction	PUNP1_reverse	2.10E-08	2.20E-08	3.70E-08	3.90E-08	3.90E-08	4.10E-08	4.90E-08	4.90E-08	5.60E-08	5.80E-08	5.80E-08	6.50E-08	6.70E-08	7.50E-08	7.50E-08	7.70E-08	7.90E-08	8.20E-08	8.60E-08	8.60E-08	8.80E-08	8.80E-08	9.20E-08	9.30E-08	9.50E-08	1.00E-07	1.00E-07	1.10E-07	1.20E-07	1.20E-07	1.20E-07	
rate of reaction	QULNS	7.00E-08	7.60E-08	1.30E-07	1.30E-07	1.30E-07	1.40E-07	1.60E-07	1.60E-07	1.90E-07	2.00E-07	2.00E-07	2.20E-07	2.30E-07	2.50E-07	2.50E-07	2.60E-07	2.70E-07	2.80E-07	2.90E-07	2.90E-07	3.00E-07	3.00E-07	3.10E-07	3.20E-07	3.20E-07	3.50E-07	3.50E-07	3.70E-07	4.00E-07	4.10E-07	4.20E-07	R04292
rate of reaction	RBFK	6.80E-09	7.40E-09	1.20E-08	1.30E-08	1.30E-08	1.40E-08	1.60E-08	1.60E-08	1.90E-08	1.90E-08	1.90E-08	2.20E-08	2.20E-08	2.50E-08	2.50E-08	2.50E-08	2.60E-08	2.70E-08	2.80E-08	2.80E-08	2.90E-08	2.90E-08	3.00E-08	3.10E-08	3.20E-08	3.40E-08	3.40E-08	3.60E-08	3.90E-08	4.00E-08	4.10E-08	R00549
rate of reaction	RBFSa	2.70E-08	3.00E-08	5.00E-08	5.20E-08	5.20E-08	5.50E-08	6.40E-08	6.40E-08	7.40E-08	7.70E-08	7.70E-08	8.70E-08	8.90E-08	9.90E-08	9.90E-08	1.00E-07	1.00E-07	1.10E-07	1.10E-07	1.10E-07	1.20E-07	1.20E-07	1.20E-07	1.20E-07	1.30E-07	1.40E-07	1.40E-07	1.40E-07	1.60E-07	1.60E-07	1.60E-07	
rate of reaction	RBFSb	1.40E-08	1.50E-08	2.50E-08	2.60E-08	2.60E-08	2.70E-08	3.20E-08	3.20E-08	3.70E-08	3.80E-08	3.80E-08	4.30E-08	4.50E-08	5.00E-08	5.00E-08	5.10E-08	5.20E-08	5.50E-08	5.70E-08	5.70E-08	5.80E-08	5.80E-08	6.10E-08	6.20E-08	6.30E-08	6.80E-08	6.80E-08	7.20E-08	7.80E-08	8.10E-08	8.20E-08	R00066
rate of reaction	RHCCE	1.40E-08	1.50E-08	2.50E-08	2.60E-08	2.60E-08	2.70E-08	3.20E-08	3.20E-08	3.70E-08	3.90E-08	3.90E-08	4.40E-08	4.50E-08	5.00E-08	5.00E-08	5.10E-08	5.20E-08	5.50E-08	5.70E-08	5.70E-08	5.80E-08	5.80E-08	6.10E-08	6.20E-08	6.30E-08	6.80E-08	6.80E-08	7.20E-08	7.80E-08	8.10E-08	8.20E-08	R01291
rate of reaction	SDPDS	1.10E-05	1.20E-05	2.10E-05	2.20E-05	2.20E-05	2.30E-05	2.70E-05	2.70E-05	3.10E-05	3.20E-05	3.20E-05	3.60E-05	3.70E-05	4.10E-05	4.10E-05	4.20E-05	4.30E-05	4.50E-05	4.70E-05	4.70E-05	4.80E-05	4.80E-05	5.00E-05	5.20E-05	5.30E-05	5.70E-05	5.70E-05	6.00E-05	6.50E-05	6.70E-05	6.80E-05	R02734
rate of reaction	SDPTA_reverse	1.10E-05	1.20E-05	2.10E-05	2.20E-05	2.20E-05	2.30E-05	2.70E-05	2.70E-05	3.10E-05	3.20E-05	3.20E-05	3.60E-05	3.70E-05	4.10E-05	4.10E-05	4.20E-05	4.30E-05	4.50E-05	4.70E-05	4.70E-05	4.80E-05	4.80E-05	5.00E-05	5.20E-05	5.30E-05	5.70E-05	5.70E-05	6.00E-05	6.50E-05	6.70E-05	6.80E-05	
rate of reaction	SERAT	7.60E-06	8.30E-06	1.40E-05	1.40E-05	1.40E-05	1.50E-05	1.80E-05	1.80E-05	2.10E-05	2.10E-05	2.10E-05	2.40E-05	2.50E-05	2.80E-05	2.80E-05	2.80E-05	2.90E-05	3.00E-05	3.20E-05	3.20E-05	3.20E-05	3.20E-05	3.40E-05	3.40E-05	3.50E-05	3.80E-05	3.80E-05	4.00E-05	4.30E-05	4.50E-05	4.50E-05	
rate of reaction	SHCHD2	6.80E-09	7.40E-09	1.20E-08	1.30E-08	1.30E-08	1.40E-08	1.60E-08	1.60E-08	1.90E-08	1.90E-08	1.90E-08	2.20E-08	2.20E-08	2.50E-08	2.50E-08	2.50E-08	2.60E-08	2.70E-08	2.80E-08	2.80E-08	2.90E-08	2.90E-08	3.00E-08	3.10E-08	3.20E-08	3.40E-08	3.40E-08	3.60E-08	3.90E-08	4.00E-08	4.10E-08	R03947
rate of reaction	SHCHF	6.80E-09	7.40E-09	1.20E-08	1.30E-08	1.30E-08	1.40E-08	1.60E-08	1.60E-08	1.90E-08	1.90E-08	1.90E-08	2.20E-08	2.20E-08	2.50E-08	2.50E-08	2.50E-08	2.60E-08	2.70E-08	2.80E-08	2.80E-08	2.90E-08	2.90E-08	3.00E-08	3.10E-08	3.20E-08	3.40E-08	3.40E-08	3.60E-08	3.90E-08	4.00E-08	4.10E-08	R02864
rate of reaction	SHSL1	4.70E-06	5.10E-06	8.60E-06	9.00E-06	9.00E-06	9.40E-06	1.10E-05	1.10E-05	1.30E-05	1.30E-05	1.30E-05	1.50E-05	1.50E-05	1.70E-05	1.70E-05	1.80E-05	1.80E-05	1.90E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.10E-05	2.10E-05	2.20E-05	2.40E-05	2.40E-05	2.50E-05	2.70E-05	2.80E-05	2.80E-05	R03260
rate of reaction	THDPS	1.10E-05	1.20E-05	2.10E-05	2.20E-05	2.20E-05	2.30E-05	2.70E-05	2.70E-05	3.10E-05	3.20E-05	3.20E-05	3.60E-05	3.70E-05	4.10E-05	4.10E-05	4.20E-05	4.30E-05	4.50E-05	4.70E-05	4.70E-05	4.80E-05	4.80E-05	5.00E-05	5.20E-05	5.30E-05	5.70E-05	5.70E-05	6.00E-05	6.50E-05	6.70E-05	6.80E-05	R04365
rate of reaction	THRS	1.70E-05	1.80E-05	3.00E-05	3.20E-05	3.20E-05	3.30E-05	3.90E-05	3.90E-05	4.50E-05	4.70E-05	4.70E-05	5.30E-05	5.40E-05	6.00E-05	6.00E-05	6.20E-05	6.30E-05	6.70E-05	7.00E-05	7.00E-05	7.10E-05	7.10E-05	7.40E-05	7.60E-05	7.70E-05	8.30E-05	8.30E-05	8.80E-05	9.50E-05	9.80E-05	1.00E-04	R01466
rate of reaction	TMDS	8.00E-07	8.70E-07	1.50E-06	1.50E-06	1.50E-06	1.60E-06	1.90E-06	1.90E-06	2.20E-06	2.30E-06	2.30E-06	2.50E-06	2.60E-06	2.90E-06	2.90E-06	3.00E-06	3.10E-06	3.20E-06	3.30E-06	3.30E-06	3.40E-06	3.40E-06	3.60E-06	3.60E-06	3.70E-06	4.00E-06	4.00E-06	4.20E-06	4.60E-06	4.70E-06	4.80E-06	R02101
rate of reaction	TMPK	6.80E-09	7.40E-09	1.20E-08	1.30E-08	1.30E-08	1.40E-08	1.60E-08	1.60E-08	1.90E-08	1.90E-08	1.90E-08	2.20E-08	2.20E-08	2.50E-08	2.50E-08	2.50E-08	2.60E-08	2.70E-08	2.80E-08	2.80E-08	2.90E-08	2.90E-08	3.00E-08	3.10E-08	3.20E-08	3.40E-08	3.40E-08	3.60E-08	3.90E-08	4.00E-08	4.10E-08	R00617
rate of reaction	TMPPP	6.80E-09	7.40E-09	1.20E-08	1.30E-08	1.30E-08	1.40E-08	1.60E-08	1.60E-08	1.90E-08	1.90E-08	1.90E-08	2.20E-08	2.20E-08	2.50E-08	2.50E-08	2.50E-08	2.60E-08	2.70E-08	2.80E-08	2.80E-08	2.90E-08	2.90E-08	3.00E-08	3.10E-08	3.20E-08	3.40E-08	3.40E-08	3.60E-08	3.90E-08	4.00E-08	4.10E-08	R03223
